name,type,address,latitude,longitude,stadsdeel,wijk,active,website_url,photo_url,description,note,seating,toilets,free_water,food_to_buy,own_food_ok,airco,wheelchair_accessible,games,pets_ok,wifi,heat_mon,heat_tue,heat_wed,heat_thu,heat_fri,heat_sat,heat_sun
Oosterparkhuis,community_center,"Derde Oosterparkstraat 159, 1092 CW Amsterdam",52.3575278,4.9202277,Oost,Oosterparkbuurt,yes,| Oosterparkhuis,images/locations/oosterparkhuis.jpg,Gratis koffie & thee. Kindvriendelijk (maar ouderlijk toezicht belangrijk) en toegankelijk voor mensen met een rolstoel (entree & toilet),,yes,yes,yes,no,yes,no,yes,yes,no,yes,gesloten,09.00- 17.00,09.00- 17.00,09.00- 17.00,gesloten,gesloten,gesloten
Odensehuis,community_center,"Hygiëastraat 4, 1076 RM Amsterdam",52.3484158,4.8647000,Zuid,Stadionbuurt,yes,https://www.odensehuis.nl/locaties/odensehuis-amsterdam-zuid/,,https://drive.google.com/file/d/1Ju16z-1ipRh8LX37VasTg6P7KNpZmv07/view?usp=sharing,Niet alle ruimtes hebben airco.,yes,yes,yes,no,yes,no,yes,yes,yes,yes,gesloten,gesloten,,,,,
Weteringskerk,church,"Veluwelaan 20, 1079 RA Amsterdam, Nederland",52.3391438,4.8969877,Zuid,Scheldebuurt,yes,Home - Weteringkerk,images/locations/weteringskerk.jpg,,,yes,yes,yes,no,yes,no,yes,yes,no,yes,11:00-17:00,11:00-17:00,11:00-17:00,gesloten,11:00-17:00,gesloten,gesloten
Huis de Pinto,community_center,"Sint Antoniesbreestraat 69, 1011 HB Amsterdam",52.3701224,4.9008303,Centrum,Nieuwmarkt/Lastage,yes,literair & cultureel centrum huis de pinto - Huis de Pinto,images/locations/huis-de-pinto.jpg,Cultureel ontmoetingscentrum met een leescafé en bibliotheek in een historisch pand. Er is een ontmoetingsplek en een studie/werkplek. Er zijn dag- week- en maand-bladen en een ruilbibliotheek (met bijv. kunstboeken die ingezien mogen worden).,,yes,yes,yes,yes,yes,no,yes,no,yes,yes,10:30-17:30,10:30-17:30,10:30-17:30,10:30-17:30,10:30-17:30,13:00-17:00,gesloten
Westerkerk,church,"Prinsengracht 279, 1016 GW Amsterdam",52.3745258,4.8834977,Centrum,Grachtengordel-West,yes,Westerkerk – Westerkerk Amsterdam,images/locations/westerkerk.jpg,"Historische kerk waar u tot rust kan komen. Huisdieren welkom, mits bestand tegen geluid van orgel. Elke dag om 13:00 een gratis concert. Check hiervoor de website van de Westerkerk.",,yes,yes,yes,no,yes,no,yes,yes,yes,yes,gesloten,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,gesloten
De Eester,community_center,"C. van Eesterenlaan 266, 1019 JR Amsterdam",52.3707191,4.9381205,Oost,Oostelijk Havengebied,yes,https://buurtcooperatieohg.nl/inloop/,images/locations/de-eester.jpg,"Gezellig buurthuis met altijd een gastheer of vrouw aanwezig. Eigen activiteitenprogramma voor volwassenen en kinderen, deelname tegen betaling.",,yes,yes,yes,no,yes,no,yes,yes,yes,yes,gesloten,gesloten,10.00 - 16.00,10.00 - 16.00,10.00 - 16.00,gesloten,gesloten
De Balie,Café,"Kleine-Gartmanplantsoen 10, 1017 RR Amsterdam",52.3630902,4.8827466,Centrum,De Weteringschans,yes,http://www.debalie.nl/,images/locations/de-balie.jpg,,"Openingstijden variëren, maar de laatste films draaien tot ongeveer 23.00",yes,yes,yes,yes,no,no,yes,no,yes,yes,10.00 - 23.00,10.00 - 23.00,10.00 - 23.00,10.00 - 23.00,10.00 - 23.00,10.00 - 23.00,10.00 - 23.00
Buurtkamer de Buurtsingel,community_center,"Elzenhagensingel 1537A, 1022 LA Amsterdam",52.3998117,4.9282622,Noord,Elzenhagen,yes,https://www.buurtkamerdebuurtsingel.nl/,images/locations/buurtkamer-de-buurtsingel.jpg,Gratis ijsjes! Bekijk het activiteitenprogramma op de website.,,yes,yes,yes,no,yes,no,yes,yes,yes,yes,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,gesloten,gesloten,gesloten
HvA Wibauthuis,community_center,"Amstelcampus, Wibautstraat 3b, 1091 GH Amsterdam",52.3591615,4.9096452,Oost,Oosterparkbuurt,yes,https://www.hva.nl/locaties/wibauthuis,images/locations/hva-wibauthuis.jpg,Hulphonden toegestaan (bij vertoon van bewijs). Kinderen zijn ook welkom!,,yes,yes,yes,no,yes,yes,yes,no,no,yes,gesloten,gesloten,gesloten,10:00-18:00,10:00-18:00,gesloten,gesloten
Restaurant Elixer,Café,"Batjanstraat 1a, 1094 RC Amsterdam",52.3595220,4.9382066,Oost,Indische Buurt-West,yes,https://www.restaurantelixer.com/,,,,Yes,yes,yes,yes,yes,no,yes,yes,yes,nee,gesloten,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 21:30
Het Afvalpaleis,community_center,"Dapperstraat 76, Dapperstraat 82, 1093 BX Amsterdam",52.3615038,4.9279960,Oost,Dapperbuurt,yes,https://www.jungle.amsterdam/afvalpaleis,,"Wij zijn een ontmoetingsplek voor de buurt, met een doorgeefwinkel, Repair cafés, koffie en thee en laagdrempelige activiteiten aan onze doe-mee-tafel. Alles is gratis. Onze vrijwilligers verwelkomen graag iedereen, of je nou alleen even wilt zitten, of wilt leren over circulair leven. Tijdens warme dagen worden er ijsjes uitgedeeld. Goed om te weten: er is een huiskat in het pand.",Goed om te weten: er is een huiskat in het pand & het afvalpaleis wordt gerund door vrijwilligers,yes,yes,yes,no,yes,no,yes,yes,yes,no,gesloten,gesloten,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,gesloten
Buurthuis de gibraltar,community_center,"Haarlemmerweg 645a, 1055 PS Amsterdam",52.3847538,4.8487754,West,Landlust,yes,https://www.degibraltar.nl/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Ouderkerk aan de Amstel Sluisplein,supermarket,"Sluisplein 41-46, 1191 GV Ouderkerk aan de Amstel",52.2974386,4.9143178,Ouder-Amstel,Wijk 00,yes,Jumbo Ouderkerk aan de Amstel Sluisplein | Jumbo,images/locations/jumbo-ouderkerk-aan-de-amstel-sluisplein.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,no,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,09:00-19:00
