buurtnaam,temp_mean,buurt_area,ndvi_mean,water_prc,road_prc
Kromme Mijdrechtbuurt,37.32508701,184906.762,0.2878757944,4.652,0.128
Nieuw Sloten Zuidoost,36.27543061,256167.631,0.421458915,4.605,0.003
Oostenburg,35.64236603,247565.225,0.2201700561,4.485,0.017
Orteliusbuurt Zuid,37.12504187,83678.695,0.4111097357,4.341,0.037
Lootsbuurt,37.63706648,74503.656,0.2949782348,4.157,0.072
Reguliersbuurt,38.37088001,45503.39,0.104017782,4.116,0.348
Marathonbuurt Oost,38.30862111,155339.187,0.4466996303,4.114,0.499
Banpleinbuurt,37.0773198,112363.677,0.3703785407,4.104,0.023
Noorder IJplas,27.92449019,1468105.204,0.3129394963,3.998,0.001
Spuistraat Noord,36.64958877,56785.865,0.1767609117,3.913,0.034
Meer en Oever,36.45324455,233550.711,0.4031842345,3.871,0.093
Aalsmeerwegbuurt West,36.59700897,105250.477,0.3850724908,3.838,0.139
Bertelmanpleinbuurt,35.63759019,59563.754,0.4531889546,3.714,0.066
Scheepvaarthuisbuurt,31.93634991,107923.869,0.146107967,3.591,1.604
Groenmarktkadebuurt,36.2830479,49430.103,0.2427602169,3.44,0.094
Don Bosco,36.21686721,162504.758,0.4161638298,3.419,0.265
Grunder/Koningshoef,36.60695204,131294.084,0.308071345,3.392,0.195
Overhoeks,31.1720907,513235.313,0.06960187388,3.279,0.004
Swammerdambuurt,36.37635387,140930.541,0.2185634195,3.233,0.18
Passeerdersgrachtbuurt,36.82790101,54810.005,0.3338407909,3.199,0.117
Alexanderplein e.o.,34.23753168,48649.487,0.4303821122,3.139,0.814
Hemonybuurt,36.43575339,140002.118,0.2847965832,3.119,0.29
Rembrandtpleinbuurt,36.29066249,76819.744,0.2080292808,3.098,0.018
Columbusplein e.o.,38.82849237,155067.747,0.3472576766,3.064,0.019
Valeriusbuurt West,36.92383985,141067.822,0.3877137679,3.049,0.005
Leidsegracht Zuid,35.82945349,68652.15,0.3034721852,3.041,0.076
Zeeburgerdijk Oost,29.71766951,126959.519,0.4530570773,3.025,0.004
Bellamybuurt Noord,37.05176405,110136.16,0.352293166,2.996,0.024
Vondelpark West,31.43448754,247629.994,0.7681039079,2.947,0.001
Balboaplein e.o.,39.85639687,120137.089,0.2851758218,2.909,0.035
G-buurt Oost,32.08378677,971280.046,0.6384607421,2.908,0.162
Marnixbuurt Noord,35.21257332,72124.467,0.3102777213,2.873,0.707
Kolenkitbuurt Zuid,37.51321884,128037.008,0.3444529307,2.861,0.075
De Klenckebuurt,35.75860077,138984.653,0.4325473516,2.861,0.13
Transvaalbuurt Oost,36.51047364,199480.367,0.3676536928,2.782,0.015
Weteringbuurt,37.39175794,136169.699,0.2849126864,2.747,0.002
Marathonbuurt West,37.20860284,121176.446,0.4029155592,2.671,0.073
Frederikspleinbuurt,35.66098821,155988.047,0.3615049488,2.605,0.047
Frans Halsbuurt,36.61681372,121393.372,0.3507899919,2.592,0.284
Spuistraat Zuid,36.49730125,67165.148,0.2132354292,2.494,0.152
Duivelseiland,38.32176708,61599.281,0.2921181276,2.489,0.027
Leidsegracht Noord,35.09721913,69072.014,0.3622123992,2.488,0.015
Spaarndammerbuurt Zuidoost,35.85370925,56733.769,0.3865387911,2.421,0.099
Van Tuyllbuurt,36.99051858,210442.145,0.4206246793,2.409,0.036
Leidsebuurt Noordwest,37.15114903,28518.14,0.1595157234,2.399,1.341
Zuiderkerkbuurt,36.40004335,91040.288,0.2639647337,2.398,0.053
Van Loonbuurt,35.89196884,153377.411,0.3572077156,2.386,0.16
Fannius Scholtenbuurt,38.37117156,111038.737,0.307822497,2.379,0.043
Erasmusparkbuurt West,34.99751291,336308.688,0.5627319801,2.368,0.897
Johannnes Vermeerbuurt,37.42102698,159801.255,0.3047247121,2.356,0.01
Buyskade e.o.,37.95825942,130531.049,0.343456508,2.308,0.083
Minervabuurt Zuid,37.0946178,162436.486,0.4093294784,2.294,0.376
Kelbergen,35.4145757,218040.91,0.5734495605,2.266,0.033
Zaagpoortbuurt,36.14092102,37922.385,0.2918858082,2.215,0.546
Eendrachtspark,32.62916554,140149.459,0.7280395259,2.158,0.03
Bedrijventerrein Landlust,38.57439575,140099.644,0.2404102632,2.11,0.051
Zamenhofstraat e.o.,32.39485928,390074.929,0.216026564,2.067,0.014
Burgwallen Oost,36.83190596,72498.289,0.2414122495,2.014,0.068
Kazernebuurt,35.03035896,66090.047,0.4108139165,2.004,0.008
Ecowijk,37.06147363,65860.542,0.4497732701,1.967,0.002
De Bongerd,36.82233676,300250.088,0.2846506654,1.921,0.007
Van der Pekbuurt,35.19065434,579668.965,0.3949679804,1.914,0.004
Bellamybuurt Zuid,38.90645227,163835.865,0.2799717967,1.816,0.055
Postjeskade e.o.,35.42885082,175596.14,0.4513779481,1.81,0.039
De Aker West,36.20512114,574346.388,0.4638935876,1.805,0.018
Osdorp Midden Noord,36.56448077,215566.863,0.3967219901,1.756,0.011
Entrepot-Noordwest,35.44143034,127360.966,0.3043720431,1.753,0.002
Overtoomse Veld Zuid,37.80480488,306452.705,0.3477083166,1.723,0.041
Oosterparkbuurt Noordwest,37.5587671,220432.782,0.3012874788,1.673,0.027
Vivaldi,38.71499317,289924.011,0.2582942221,1.612,0.012
De Eenhoorn,37.10194019,180177.366,0.3433125794,1.585,0.103
Gein Zuidwest,36.25136506,181082.045,0.4911688576,1.562,0.026
Westerstaatsman,38.22096625,100211.392,0.3635169734,1.558,0.022
Prinses Irenebuurt,36.12367652,266479.038,0.4969276959,1.547,0.004
Driehoekbuurt,37.72071643,106104.712,0.2901348964,1.537,0.075
Cremerbuurt West,37.9616403,205967.824,0.3137445081,1.486,0.018
Transvaalbuurt West,36.75288409,179126.299,0.377578723,1.471,0.044
De Punt,37.8400311,481784.903,0.4428558268,1.461,0.0
Gaasperdam Noord,36.25806498,253025.039,0.4811759047,1.452,0.099
Bedrijvengebied Cruquiusweg,29.77249225,310521.418,0.05070158948,1.426,0.031
Buitenveldert Oost Midden,34.63382998,298573.323,0.5291182505,1.388,0.093
Spaarndammerbuurt Noordwest,36.64992864,119251.722,0.440705601,1.353,0.059
Overtoomse Veld Noord,37.69689845,344806.698,0.3605513973,1.333,0.013
Jacob Geelbuurt,36.61711273,321534.728,0.4630916913,1.312,0.006
Overamstel,30.7656622,1193363.883,0.6738842826,1.307,0.0
Buurt 10,35.77058066,321010.151,0.477256227,1.301,0.001
Zuiderhof,36.13140025,207800.044,0.4045396645,1.299,0.119
De Omval,33.50234483,147982.571,0.2619610914,1.297,0.048
Hondecoeterbuurt,37.86040625,126048.506,0.3399094383,1.295,0.081
Frederik Hendrikbuurt Noord,36.35288209,212413.551,0.3760884411,1.289,0.231
Kop Zuidas,36.3233973,169410.032,0.3236360949,1.28,0.122
Nes e.o.,38.41697987,57769.987,0.1479078081,1.261,0.045
Buurt 8,36.90620704,268557.12,0.4144833381,1.251,0.0
Bretten Oost,33.24082963,842717.482,0.6764648523,1.244,0.004
Da Costabuurt Zuid,37.00282846,88449.108,0.3106238264,1.232,0.04
Cornelis Troostbuurt,37.20698836,156528.186,0.3598833985,1.222,0.008
Westlandgrachtbuurt,34.97923197,188068.136,0.3496086433,1.21,0.024
Bloemenbuurt Noord,35.95501793,362677.282,0.4625311208,1.207,0.107
Gelderlandpleinbuurt,36.71800804,464330.347,0.4402143092,1.203,0.001
BG-terrein e.o.,37.40973074,101406.834,0.2101904308,1.197,0.002
Osdorper Binnenpolder,31.77170377,2100812.408,0.6732409432,1.197,0.002
Buurt 2,35.31930552,315217.151,0.4683414618,1.186,0.01
Da Costabuurt Noord,37.35386271,258548.404,0.3443490558,1.178,0.018
Zuidwestkwadrant Osdorp Noord,37.70372057,240863.897,0.4505362412,1.177,0.025
Oosterdokseiland,31.46468524,242973.578,0.04389344652,1.124,0.151
Stationsplein e.o.,33.27259804,260453.732,-0.05000731785,1.109,0.009
Haveneiland Zuidwest/Rieteiland West,32.57305616,303862.867,0.396725299,1.103,0.113
Staalmanbuurt,37.24730973,321342.921,0.3822725038,1.091,0.002
Buurt 4 Oost,35.74639669,359215.133,0.4720236473,1.09,0.091
Frederik Hendrikbuurt Zuidoost,38.04695076,124666.384,0.2964790844,1.059,0.038
Museumplein,36.61074611,134148.453,0.3030504269,1.058,0.181
Oude Kerk e.o.,38.71794513,92608.423,0.1455919024,0.993,0.002
Czaar Peterbuurt,36.51906994,107666.137,0.3141619543,0.982,0.048
Hercules Seghersbuurt,37.81231899,84549.001,0.2609564922,0.982,0.039
Dorp Sloten,34.61269372,612340.888,0.5902389872,0.969,0.035
Lucas/Andreasziekenhuis e.o.,38.93867392,184952.768,0.3311500513,0.949,0.073
Helmersbuurt Oost,37.65089586,112559.093,0.3046164217,0.944,0.014
Buiksloterbreek,34.28634034,99772.423,0.569655494,0.941,1.184
Kortvoort,36.6197912,222396.014,0.3985127942,0.925,0.001
VU-kwartier,38.89488669,463389.55,0.2739712276,0.922,0.092
Zuidas Zuid,35.3273805,216822.968,0.2795242926,0.893,0.0
Leliegracht e.o.,35.92035653,173502.716,0.3378074391,0.891,0.012
Haveneiland Noordoost,33.71970909,348783.476,0.3079295172,0.884,0.001
Bijlmermuseum Zuid,33.57921901,257633.485,0.5935498292,0.876,0.02
Tuindorp Oostzaan West,35.98657509,181523.515,0.5734284824,0.875,0.021
Calandlaan/Lelylaan,36.33752066,275474.739,0.4954023903,0.866,0.026
Felix Meritisbuurt,35.70599434,203145.467,0.3192611466,0.864,0.015
Waterloopleinbuurt,37.38785782,129584.389,0.2522536051,0.862,0.214
G-buurt Noord,34.30965643,80665.108,0.5104065633,0.849,0.019
Haveneiland Oost,33.64834809,485873.497,0.3371281451,0.843,0.001
Haveneiland Noordwest,32.88657473,175713.985,0.3439479561,0.822,0.008
Westelijke eilanden,34.38476931,216553.073,0.2821357276,0.821,0.001
Bedrijvencentrum Osdorp,40.48053601,118050.102,0.2940149192,0.821,0.084
Elandsgrachtbuurt,38.32180721,207958.082,0.2925161367,0.817,0.004
Mercatorpark,37.63815991,98164.981,0.5045429158,0.81,0.007
Kantershof,33.26072379,604697.407,0.5511329786,0.807,0.001
Utrechtsebuurt Zuid,35.31853558,68800.059,0.3204124498,0.805,0.016
Osdorp Midden Zuid,35.51172186,258429.973,0.5647683386,0.777,0.009
RI Oost terrein,35.927259,288307.879,0.3408987205,0.759,0.023
Gaasperdam Zuid,36.85673366,192596.636,0.4455073945,0.759,0.003
de Plantage,34.76088448,377696.442,0.4412828283,0.752,0.002
Andreasterrein,34.89173925,177452.861,0.4091078276,0.749,0.146
Woon- en Groengebied Sloterdijk,33.72149384,532104.252,0.6647448316,0.741,0.024
Bloemgrachtbuurt,36.98217838,127147.926,0.2967171435,0.737,0.009
Weespertrekvaart,38.01639884,482653.611,0.2533890973,0.718,0.0
Delflandpleinbuurt Oost,36.10005686,181697.164,0.4167249229,0.709,0.081
RAI,40.16913733,370622.958,0.2027897896,0.707,0.146
Sloterpark,28.42813024,1061864.428,0.4811655935,0.678,0.021
Nieuw Sloten Zuidwest,36.36254535,231661.078,0.4364144283,0.674,0.056
Wildeman,36.87841053,330077.372,0.4617149946,0.653,0.064
Haarlemmerbuurt West,38.32012814,117332.753,0.2506798154,0.648,0.002
Julianapark,37.41710312,192093.398,0.3596617736,0.647,0.011
Medisch Centrum Slotervaart,37.88382353,301950.587,0.3706716207,0.609,0.008
Nelson Mandelapark,35.74589354,510625.55,0.5641106979,0.597,0.0
Sportpark Middenmeer Zuid,36.05537398,211422.04,0.5590691243,0.579,0.045
Nieuw Sloten Noordwest,34.86679225,373602.733,0.4907840806,0.576,0.004
Bijlmermuseum Noord,33.51829146,165373.555,0.556273839,0.556,0.041
Tuindorp Oostzaan Oost,36.26978632,529022.047,0.473777561,0.552,0.014
Marnixbuurt Midden,37.08242182,21617.016,0.1712616694,0.549,1.255
Louis Chrispijnbuurt,36.9808177,373581.369,0.4674899899,0.546,0.025
Terrasdorp,37.50513136,689240.925,0.453031614,0.538,0.006
Buurt 6,36.59529247,271083.696,0.4304389811,0.538,0.083
De Aker Oost,36.55867617,718510.796,0.4299257823,0.537,0.002
Den Texbuurt,35.9121976,113089.564,0.3870415767,0.534,0.072
Gein Noordwest,34.90653005,319309.585,0.5146230126,0.509,0.044
Frankendael,32.17216112,290405.615,0.6968234065,0.507,0.009
Sloterdijk III West,38.88657722,2114802.31,0.3518045482,0.502,0.027
P.C. Hooftbuurt,36.75665145,113980.938,0.3227052131,0.5,0.278
Jacques Veltmanbuurt,36.49877376,308589.216,0.4333750705,0.477,0.008
Schipluidenbuurt,37.53694164,116495.118,0.2302352932,0.473,0.499
Amstel III deel C/D Zuid,40.23417771,360142.82,0.3014141285,0.455,0.015
Amstel III deel A/B Zuid,37.77711255,375470.381,0.3580752332,0.451,0.003
Anjeliersbuurt Noord,37.66146709,98841.519,0.2893154837,0.446,0.044
Gein Noordoost,32.6947968,647877.328,0.5841758576,0.426,0.017
Sloterweg e.o.,34.12286969,862565.448,0.6300806236,0.419,0.003
Buurt 9,36.84651545,434923.029,0.4265367249,0.412,0.046
Bedrijvenpark Lutkemeer,33.61358166,2359439.09,0.5769098632,0.411,0.011
Delflandpleinbuurt West,36.39479826,340483.389,0.4178793652,0.41,0.053
Osdorp Zuidoost,36.10557856,519327.629,0.4830312351,0.4,0.0
Zuidas Noord,36.18694,826265.426,0.3686754776,0.387,0.006
NDSM terrein,31.41638743,794836.02,0.03674945658,0.379,0.009
Emanuel van Meterenbuurt,31.89290756,584842.491,0.507472918,0.378,0.006
Vogelbuurt Noord,35.00902382,318927.067,0.5147530609,0.369,0.004
Gibraltarbuurt,38.35893751,200108.496,0.4051097725,0.366,0.134
E-buurt,36.48522023,319463.494,0.4234357579,0.364,0.001
Gaasperplas,28.71072745,1337829.301,0.396641828,0.36,0.001
Van der Kunbuurt,35.46280138,90564.952,0.3326746581,0.345,0.001
Rembrandtpark Noord,32.53461453,304319.74,0.696582743,0.344,0.062
Bedrijventerrein Sloterdijk I,40.5958102,681485.683,0.2970294014,0.339,0.001
Tuindorp Amstelstation,36.44688283,110063.951,0.5209390884,0.336,0.029
Middenmeer Noord,36.8013638,185575.428,0.4356874453,0.327,0.39
Science Park Noord,37.14039594,418038.112,0.3537885647,0.312,0.221
Nieuw Sloten Noordoost,36.82215929,480369.712,0.4863499561,0.305,0.003
Aalsmeerwegbuurt Oost,36.63539388,118142.493,0.3811478547,0.304,0.039
Leidsebuurt Zuidwest,37.77243113,32571.169,0.2030839391,0.303,0.113
Zuidwestkwadrant Osdorp Zuid,36.62127694,402241.465,0.4448229159,0.303,0.011
G-buurt West,36.74292425,426899.708,0.4179404283,0.299,0.004
Reigersbos Midden,36.13709634,251179.629,0.4497592328,0.292,0.002
Durgerdam,27.72014682,2936003.993,0.6737245308,0.278,0.019
Marine-Etablissement,33.60374586,271531.535,0.2998097807,0.276,0.006
Vogeltjeswei,38.41439581,72304.894,0.3758945024,0.276,0.009
Gooise Kant,35.94975053,153981.611,0.4283381239,0.273,0.908
Houthavens West,30.47533837,663417.104,0.1285997555,0.269,0.01
F-buurt,37.51895251,232034.146,0.3238722472,0.269,0.038
Hoptille,38.3130139,203723.036,0.3526289596,0.269,0.007
Vondelparkbuurt Oost,37.00482604,130098.263,0.3483310696,0.262,0.11
Zuidoostkwadrant Indische buurt,36.00015425,140428.611,0.3931408885,0.258,0.015
Park Haagseweg,35.92379948,121320.016,0.4833001904,0.25,0.507
Johan Jongkindbuurt,36.94615426,86951.577,0.4612491758,0.247,2.135
Vondelpark Oost,31.96338388,236996.844,0.6772111363,0.245,0.007
K-buurt Zuidoost,35.86374453,196041.797,0.4171587486,0.23,0.175
Kop Zeedijk,36.55514129,80452.736,0.1425150258,0.229,0.02
Nieuwe Oosterbegraafplaats,32.84294923,394167.06,0.6894981134,0.229,0.009
Kadijken,36.32419518,218256.638,0.2810801921,0.225,0.004
Vliegenbos,30.97625285,395062.129,0.7373014103,0.221,0.043
Vondelparkbuurt Midden,36.3560358,91106.795,0.3968746396,0.22,0.038
Buurt 3,37.02359743,700112.961,0.4784202344,0.22,0.083
Bedrijvencentrum Westerkwartier,37.8811294,151778.595,0.3885001873,0.218,0.023
D-buurt,35.62188928,277085.758,0.5243621796,0.216,0.013
Sarphatistrook,36.26253555,214581.726,0.3036982193,0.215,0.006
Betondorp,36.11788325,458057.967,0.443631182,0.207,0.007
Drieburg,36.33620187,281952.996,0.560623922,0.204,0.013
Kolenkitbuurt Noord,38.08078775,298974.218,0.4039317228,0.203,0.188
Hoofdcentrum Zuidoost,38.48888981,342152.044,0.2237390245,0.184,0.006
Alfa-driehoek,38.78893172,406350.236,0.3302781282,0.18,0.0
Amstelglorie,31.63499999,506456.957,0.6533913635,0.178,0.087
Bretten West,29.78146162,1495022.497,0.7341106341,0.167,0.022
Park de Meer,34.81115895,263662.968,0.5308342149,0.167,0.002
Oostzanerdijk,34.26704904,466098.513,0.5650315467,0.167,0.617
Nieuwe Meer,27.86349227,2274144.383,0.3791633611,0.166,0.027
Sportpark Voorland,36.59763501,269499.754,0.5136964938,0.162,0.016
Lizzy Ansinghbuurt,37.52709242,127535.101,0.3224956695,0.158,0.357
Buitenveldert West Midden,34.04640558,270239.941,0.5936983604,0.158,0.016
Olympisch Stadion e.o.,37.60248871,231340.478,0.3222129719,0.156,0.0
Haveneiland Noord,34.1078405,137994.32,0.2239597578,0.151,0.055
Kalverdriehoek,38.65994534,60390.411,0.1281559296,0.147,0.027
Amstelkwartier Zuid,40.4983816,243454.029,0.1747187895,0.147,0.024
Amstelkwartier Noord,35.72502768,368307.859,0.205703054,0.143,0.02
Frederik Hendrikbuurt Zuidwest,35.55675963,84208.826,0.254496299,0.139,0.025
Middenmeer Zuid,37.16033676,395974.773,0.4477864071,0.138,0.122
De Wetbuurt,35.50994729,287649.522,0.5727118214,0.131,0.124
Zeeheldenbuurt,34.31161777,103353.205,0.3103465601,0.128,0.105
Sloterdijk III Oost,38.19070185,795149.566,0.3357283469,0.127,0.088
Hemelrijk,37.92624707,62952.41,0.142600923,0.125,1.306
Java-eiland,25.79135584,713411.324,-0.07182132549,0.116,0.058
Noordoever Sloterplas,34.8837758,402114.881,0.4515098912,0.115,0.003
Gein Zuidoost,32.05113144,773482.779,0.6090447099,0.114,0.0
Haarlemmerbuurt Oost,37.12570626,101267.411,0.3217042207,0.108,0.021
Weesperbuurt,34.93550964,279085.827,0.3329552787,0.106,0.004
Harmoniehofbuurt,36.48281952,113828.687,0.367421687,0.105,0.019
Amstel III deel A/B Noord,38.58950984,799717.58,0.295886069,0.101,0.013
De Heining,30.51650456,1125772.151,0.6458719301,0.1,0.008
Dapperbuurt Noord,36.11403205,211115.593,0.3559600624,0.098,0.016
Amsterdamse Bos,27.11617835,1317380.549,0.5104361726,0.093,0.007
Overbraker Binnenpolder,35.75574342,631362.629,0.5464509327,0.09,0.001
Weesperzijde Midden/Zuid,35.26674704,236483.953,0.2941557123,0.087,0.01
Venserpolder Oost,35.84465412,322595.935,0.475228335,0.087,0.0
Riekerhaven,35.44653773,416596.404,0.5237100026,0.083,0.061
Planciusbuurt Zuid,36.42664272,17359.229,0.240344423,0.078,0.037
,21.70218736,14814733.92,-0.2821601835,0.077,0.0
Schellingwoude West,29.38023063,251282.188,0.3502099717,0.077,0.009
Rijnbuurt Midden,34.6643636,285473.354,0.4981667704,0.073,0.083
Buitenveldert Zuidwest,34.71212257,749534.896,0.5301763417,0.073,0.003
Walvisbuurt,34.36976624,506796.536,0.5580183362,0.072,0.007
Flevopark,27.78996975,760151.682,0.4214335046,0.071,0.111
Kattenburg,33.33456543,120778.048,0.4396839915,0.07,0.073
Wittenburg,33.26397538,180481.071,0.3476733616,0.068,0.001
Vogelbuurt Zuid,36.85239741,341915.491,0.4057069155,0.066,0.002
Oostoever Sloterplas,30.17065344,647530.477,0.2940462035,0.066,0.015
Zeeburgereiland Noordoost,32.9350611,238643.517,0.3358349772,0.063,0.186
Centrumeiland,32.55567638,273738.337,0.126362,0.062,0.112
Schellingwoude Oost,30.8905681,684982.057,0.6867061319,0.062,0.013
Markthallen,41.51432246,283069.801,0.1545780925,0.057,0.0
Nieuwe Diep/Diemerpark,28.86778078,1899227.756,0.3733450036,0.057,0.01
Sportpark Middenmeer Noord,37.01464526,251076.375,0.5992089709,0.056,0.002
Amstelpark,30.0824487,620015.005,0.7004200476,0.053,0.0
Valeriusbuurt Oost,36.56227435,120630.65,0.373282798,0.052,0.008
Reigersbos Noord,35.77809024,369525.236,0.489615625,0.051,0.008
Hakfort/Huigenbos,34.94458603,294802.606,0.5513534906,0.049,0.005
Riekerpolder,37.02776084,645633.398,0.3734891352,0.048,0.115
Rembrandtpark Zuid,31.61324233,316646.963,0.7031165204,0.046,0.001
Amsterdamse Poort,38.69181472,431495.426,0.2319993104,0.046,0.006
Steigereiland Zuid,32.44220379,225388.589,0.3422042609,0.041,0.001
Paramariboplein e.o.,37.04085052,171293.535,0.3523365002,0.041,0.044
Koningin Wilhelminaplein,34.80107677,263702.203,0.4277462473,0.039,0.107
Sloterdijk II,41.12448051,462258.027,0.2872761424,0.038,0.005
Buurt 7,36.29022603,297800.022,0.4472879054,0.038,0.033
Nieuwendammerdijk West,34.21631156,117734.087,0.4348370473,0.037,0.002
Diamantbuurt,36.0189282,167128.96,0.3309634559,0.036,0.034
Linnaeusparkbuurt,37.15957658,178330.052,0.350589868,0.033,0.0
De Wittenbuurt Noord,35.8026228,74657.838,0.351816464,0.032,0.318
Zeeburgereiland Noordwest,33.77681934,382102.416,0.2215102351,0.032,0.138
AMC,35.54486607,801619.092,0.5060089543,0.031,0.009
Spaarndammerbuurt Zuidwest,37.72443331,75790.527,0.3939102401,0.029,0.272
IJplein e.o.,30.29314338,397549.133,0.1436968229,0.029,0.053
Landelijk gebied Driemond,29.50924651,1672848.811,0.6662451209,0.029,0.0
Staatsliedenbuurt Noordoost,36.78352783,68203.385,0.4041966047,0.027,0.019
Leidsebuurt Zuidoost,37.25948861,51079.784,0.2099989932,0.026,0.027
Oostpoort,37.10581858,228499.384,0.3007828958,0.024,0.008
IJsbaanpad e.o.,36.84423224,296141.12,0.3508353704,0.023,0.019
Kortenaerkwartier,39.01006255,99507.635,0.3758947186,0.022,0.346
Nieuwmarkt,36.27484944,71201.769,0.2947411916,0.022,0.154
Science Park Zuid,32.54574696,848844.765,0.4351694927,0.022,0.0
Buitenveldert Midden Zuid,33.88337046,543652.427,0.6050218803,0.021,0.001
Bedrijventerrein Schinkel,38.06554902,380296.512,0.3115298928,0.018,0.021
Nieuwendammerdijk Oost,31.83760105,79442.012,0.4898222745,0.018,0.03
Rapenburg,32.82030894,166072.386,0.1449521266,0.017,0.006
Uilenburg,35.92829127,106913.825,0.258807333,0.017,0.01
Middelveldsche Akerpolder,37.39378957,352116.432,0.3924649799,0.016,0.154
Spaarndammerbuurt Noordoost,36.20583013,111836.837,0.3524737125,0.015,0.113
Zuidwestkwadrant Indische buurt,37.12856011,159691.945,0.3928567611,0.015,0.009
Borgerbuurt,38.48890228,124776.81,0.3077128498,0.013,0.081
Zorgvlied,31.78871519,320999.751,0.5923352031,0.013,0.053
Holendrecht West,36.57172476,350351.434,0.4660359115,0.013,0.227
Beatrixpark,31.55646923,166568.999,0.7824156608,0.012,0.631
Zeeburgereiland Zuidoost,32.95428932,225040.086,0.3516588208,0.01,0.387
Spiegelbuurt,36.6192649,94270.269,0.3409595265,0.009,0.187
Tuindorp Frankendael,35.16332497,360658.971,0.5589379519,0.009,0.008
Slotermeer Zuid,35.7935418,434350.705,0.5195910081,0.009,0.01
L-buurt,31.84512448,764047.887,0.6484695163,0.009,0.023
Reigersbos Zuid,33.66842013,630552.213,0.5662677238,0.009,0.076
Amstel III deel C/D Noord,40.43449138,989828.543,0.2990142631,0.008,0.01
WG-terrein,37.23249114,167841.465,0.3886705415,0.007,0.032
Beethovenbuurt,36.37277072,152271.261,0.4607344691,0.007,0.086
Vervoerscentrum,41.48691738,700275.277,0.2854392135,0.006,0.0
Noordoostkwadrant Indische buurt,35.88215018,267029.325,0.4236735994,0.006,0.038
Diepenbrockbuurt,35.32136385,220737.033,0.4206025017,0.006,0.436
Valkenburg,36.28881342,73653.543,0.3312117081,0.005,0.343
Rieteiland Oost,31.10457691,103933.901,0.4889445426,0.005,0.195
Teleport,38.10552678,864573.66,0.3071098345,0.004,0.001
Amstelveldbuurt,34.50376356,147884.73,0.3748201171,0.004,0.01
Oosterpark,33.78060667,253933.444,0.6012199355,0.004,0.012
Langestraat e.o.,35.63444422,123362.144,0.3277774303,0.003,0.014
Marnixbuurt Zuid,36.5831707,51193.774,0.2502721483,0.003,0.058
Surinamepleinbuurt,36.80919749,89410.317,0.3808006585,0.003,0.043
Holendrecht Oost,34.33701363,665736.408,0.6046202398,0.003,0.118
Westergasfabriek,34.38229795,255182.835,0.5442237537,0.002,0.009
John Franklinbuurt,36.47003892,74875.472,0.4049258536,0.002,0.8
Coenhaven/Mercuriushaven,31.38642394,3022913.113,0.06076639378,0.002,0.0
Cremerbuurt Oost,38.09112934,68894.392,0.3345266228,0.002,0.039
Hiltonbuurt,35.10178515,112965.108,0.4943555502,0.002,0.584
Buurt 5 Noord,36.23704251,231506.37,0.4864862333,0.002,0.053
Hoge Dijk,30.90867968,1605610.47,0.6961246606,0.002,0.0
